# TALLY-128 Task 5 per-product diff — 2026-04-20T22:28:52.657Z
# Format: <mpn> | aw=[...] | cur=[...] | exp=[...] | create=[...] | delete=[...] | preserve=[...] | nonReg=[...]
10001-5CI | aw=[] | cur=[] | exp=[] | create=[] | delete=[] | preserve=[] | nonReg=[]
1003868 | aw=[] | cur=[] | exp=[] | create=[] | delete=[] | preserve=[] | nonReg=[]
1006302 | aw=[] | cur=[] | exp=[] | create=[] | delete=[] | preserve=[] | nonReg=[]
1006303 | aw=[] | cur=[] | exp=[] | create=[] | delete=[] | preserve=[] | nonReg=[]
101639C | aw=[karmaloop] | cur=[karmaloop,mltd,shiekh] | exp=[karmaloop] | create=[] | delete=[mltd,shiekh] | preserve=[karmaloop] | nonReg=[]
1026238 | aw=[] | cur=[] | exp=[] | create=[] | delete=[] | preserve=[] | nonReg=[]
1031309 | aw=[] | cur=[] | exp=[] | create=[] | delete=[] | preserve=[] | nonReg=[]
1032032 | aw=[] | cur=[] | exp=[] | create=[] | delete=[] | preserve=[] | nonReg=[]
11872945 | aw=[] | cur=[] | exp=[] | create=[] | delete=[] | preserve=[] | nonReg=[]
206990-001 | aw=[] | cur=[] | exp=[] | create=[] | delete=[] | preserve=[] | nonReg=[]
206990-0DA | aw=[] | cur=[] | exp=[] | create=[] | delete=[] | preserve=[] | nonReg=[]
206991-001 | aw=[] | cur=[] | exp=[] | create=[] | delete=[] | preserve=[] | nonReg=[]
206991-100 | aw=[] | cur=[] | exp=[] | create=[] | delete=[] | preserve=[] | nonReg=[]
206991-6SW | aw=[shiekh] | cur=[] | exp=[shiekh] | create=[shiekh] | delete=[] | preserve=[] | nonReg=[]
209845-1001 | aw=[] | cur=[] | exp=[] | create=[] | delete=[] | preserve=[] | nonReg=[]
280647 | aw=[karmaloop] | cur=[karmaloop,shiekh] | exp=[karmaloop] | create=[] | delete=[shiekh] | preserve=[karmaloop] | nonReg=[]
280647-BWH | aw=[karmaloop] | cur=[karmaloop] | exp=[karmaloop] | create=[] | delete=[] | preserve=[karmaloop] | nonReg=[]
32051035-GRN | aw=[] | cur=[karmaloop,plndr,shiekh] | exp=[] | create=[] | delete=[karmaloop,plndr,shiekh] | preserve=[] | nonReg=[]
32051040-MULTI | aw=[] | cur=[karmaloop,plndr,shiekh] | exp=[] | create=[] | delete=[karmaloop,plndr,shiekh] | preserve=[] | nonReg=[]
341-921CRM | aw=[mltd] | cur=[] | exp=[mltd] | create=[mltd] | delete=[] | preserve=[] | nonReg=[]
390000463 | aw=[] | cur=[] | exp=[] | create=[] | delete=[] | preserve=[] | nonReg=[]
39652001 | aw=[] | cur=[] | exp=[] | create=[] | delete=[] | preserve=[] | nonReg=[]
396B-BLK | aw=[] | cur=[] | exp=[] | create=[] | delete=[] | preserve=[] | nonReg=[]
399001975 | aw=[] | cur=[] | exp=[] | create=[] | delete=[] | preserve=[] | nonReg=[]
3J238 | aw=[] | cur=[shiekh,shiekhshoes] | exp=[] | create=[] | delete=[shiekh,shiekhshoes] | preserve=[] | nonReg=[]
40988 | aw=[] | cur=[shiekh] | exp=[] | create=[] | delete=[shiekh] | preserve=[] | nonReg=[]
451-7301BLK | aw=[] | cur=[] | exp=[] | create=[] | delete=[] | preserve=[] | nonReg=[]
4A1H13 | aw=[karmaloop] | cur=[karmaloop,shiekh] | exp=[karmaloop] | create=[] | delete=[shiekh] | preserve=[karmaloop] | nonReg=[]
4A8H63 | aw=[karmaloop] | cur=[karmaloop,plndr,shiekh] | exp=[karmaloop] | create=[] | delete=[plndr,shiekh] | preserve=[karmaloop] | nonReg=[]
5125031 | aw=[karmaloop] | cur=[karmaloop,mltd,shiekh] | exp=[karmaloop] | create=[] | delete=[mltd,shiekh] | preserve=[karmaloop] | nonReg=[]
5157886 | aw=[karmaloop] | cur=[karmaloop,shiekh] | exp=[karmaloop] | create=[] | delete=[shiekh] | preserve=[karmaloop] | nonReg=[]
5158362A | aw=[karmaloop] | cur=[karmaloop,mltd,shiekh] | exp=[karmaloop] | create=[] | delete=[mltd,shiekh] | preserve=[karmaloop] | nonReg=[]
5158364C | aw=[karmaloop] | cur=[karmaloop,mltd,shiekh] | exp=[karmaloop] | create=[] | delete=[mltd,shiekh] | preserve=[karmaloop] | nonReg=[]
5161840 | aw=[karmaloop] | cur=[karmaloop,mltd,shiekh] | exp=[karmaloop] | create=[] | delete=[mltd,shiekh] | preserve=[karmaloop] | nonReg=[]
5161841-JL4448 | aw=[karmaloop] | cur=[karmaloop,mltd,shiekh] | exp=[karmaloop] | create=[] | delete=[mltd,shiekh] | preserve=[karmaloop] | nonReg=[]
554724 069 | aw=[] | cur=[shiekh] | exp=[] | create=[] | delete=[shiekh] | preserve=[] | nonReg=[]
560771 | aw=[] | cur=[] | exp=[] | create=[] | delete=[] | preserve=[] | nonReg=[]
60113074 | aw=[] | cur=[karmaloop,plndr,shiekh] | exp=[] | create=[] | delete=[karmaloop,plndr,shiekh] | preserve=[] | nonReg=[]
60113270 | aw=[] | cur=[karmaloop,shiekh] | exp=[] | create=[] | delete=[karmaloop,shiekh] | preserve=[] | nonReg=[]
60807906 | aw=[] | cur=[] | exp=[] | create=[] | delete=[] | preserve=[] | nonReg=[]
60918518 | aw=[] | cur=[] | exp=[] | create=[] | delete=[] | preserve=[] | nonReg=[]
610-31131FB-BK | aw=[] | cur=[] | exp=[] | create=[] | delete=[] | preserve=[] | nonReg=[]
62783601 | aw=[] | cur=[] | exp=[] | create=[] | delete=[] | preserve=[] | nonReg=[]
687977 111 | aw=[] | cur=[] | exp=[] | create=[] | delete=[] | preserve=[] | nonReg=[]
70234601 | aw=[] | cur=[karmaloop,shiekh] | exp=[] | create=[] | delete=[karmaloop,shiekh] | preserve=[] | nonReg=[]
703-0909-GLD | aw=[] | cur=[karmaloop,plndr] | exp=[] | create=[] | delete=[karmaloop,plndr] | preserve=[] | nonReg=[]
83343-101-M | aw=[] | cur=[] | exp=[] | create=[] | delete=[] | preserve=[] | nonReg=[]
851-4801BLK | aw=[] | cur=[] | exp=[] | create=[] | delete=[] | preserve=[] | nonReg=[]
851-7802NVY | aw=[] | cur=[] | exp=[] | create=[] | delete=[] | preserve=[] | nonReg=[]
851-8208-BLK | aw=[karmaloop] | cur=[karmaloop] | exp=[karmaloop] | create=[] | delete=[] | preserve=[karmaloop] | nonReg=[]
851-8208-WHT | aw=[] | cur=[] | exp=[] | create=[] | delete=[] | preserve=[] | nonReg=[]
851-8802-BLK | aw=[] | cur=[] | exp=[] | create=[] | delete=[] | preserve=[] | nonReg=[]
900177-WHT | aw=[] | cur=[] | exp=[] | create=[] | delete=[] | preserve=[] | nonReg=[]
942-511BLK | aw=[] | cur=[fbrk,karmaloop,shiekh] | exp=[] | create=[] | delete=[fbrk,karmaloop,shiekh] | preserve=[] | nonReg=[]
942-715BLUE | aw=[] | cur=[] | exp=[] | create=[] | delete=[] | preserve=[] | nonReg=[]
94654 | aw=[] | cur=[plndr,shiekh] | exp=[] | create=[] | delete=[plndr,shiekh] | preserve=[] | nonReg=[]
952-101BLK | aw=[] | cur=[karmaloop,shiekh] | exp=[] | create=[] | delete=[karmaloop,shiekh] | preserve=[] | nonReg=[]
952-111BLK | aw=[] | cur=[karmaloop,shiekh] | exp=[] | create=[] | delete=[karmaloop,shiekh] | preserve=[] | nonReg=[]
A00-43435BLK | aw=[mltd.com,shiekh.com] | cur=[] | exp=[mltd,shiekh] | create=[mltd,shiekh] | delete=[] | preserve=[] | nonReg=[]
A15617C | aw=[] | cur=[karmaloop,shiekh] | exp=[] | create=[] | delete=[karmaloop,shiekh] | preserve=[] | nonReg=[]
A2B00193 | aw=[vnds.com] | cur=[] | exp=[] | create=[] | delete=[] | preserve=[] | nonReg=[vnds.com]
A49A0018 | aw=[vnds.com] | cur=[] | exp=[] | create=[] | delete=[] | preserve=[] | nonReg=[vnds.com]
A49A0019 | aw=[vnds.com] | cur=[] | exp=[] | create=[] | delete=[] | preserve=[] | nonReg=[vnds.com]
A49A0019-B | aw=[vnds.com] | cur=[] | exp=[] | create=[] | delete=[] | preserve=[] | nonReg=[vnds.com]
A52A8941 | aw=[vnds.com] | cur=[] | exp=[] | create=[] | delete=[] | preserve=[] | nonReg=[vnds.com]
ACV8357 | aw=[vnds.com] | cur=[] | exp=[] | create=[] | delete=[] | preserve=[] | nonReg=[vnds.com]
AF5836 | aw=[karmaloop] | cur=[karmaloop,shiekh] | exp=[karmaloop] | create=[] | delete=[shiekh] | preserve=[karmaloop] | nonReg=[]
AJY54241-LSU90SONATGD | aw=[] | cur=[karmaloop,shiekh] | exp=[] | create=[] | delete=[karmaloop,shiekh] | preserve=[] | nonReg=[]
ANCORA-RG | aw=[] | cur=[plndr,shiekh] | exp=[] | create=[] | delete=[plndr,shiekh] | preserve=[] | nonReg=[]
AP24113-WCAMO | aw=[] | cur=[karmaloop,shiekh] | exp=[] | create=[] | delete=[karmaloop,shiekh] | preserve=[] | nonReg=[]
AQ1701 | aw=[karmaloop] | cur=[karmaloop,shiekh] | exp=[karmaloop] | create=[] | delete=[shiekh] | preserve=[karmaloop] | nonReg=[]
AQ1702 | aw=[karmaloop] | cur=[karmaloop,mltd,shiekh] | exp=[karmaloop] | create=[] | delete=[mltd,shiekh] | preserve=[karmaloop] | nonReg=[]
AQ1703 | aw=[karmaloop] | cur=[karmaloop,mltd,shiekh] | exp=[karmaloop] | create=[] | delete=[mltd,shiekh] | preserve=[karmaloop] | nonReg=[]
AQ3091 | aw=[karmaloop] | cur=[karmaloop,shiekh,shiekhshoes] | exp=[karmaloop] | create=[] | delete=[shiekh,shiekhshoes] | preserve=[karmaloop] | nonReg=[]
AY8133-BLK | aw=[karmaloop] | cur=[karmaloop,plndr] | exp=[karmaloop] | create=[] | delete=[plndr] | preserve=[karmaloop] | nonReg=[]
AY8945-OLICAR | aw=[karmaloop] | cur=[karmaloop,plndr] | exp=[karmaloop] | create=[] | delete=[plndr] | preserve=[karmaloop] | nonReg=[]
AY9267-UTIBLU | aw=[karmaloop] | cur=[karmaloop,plndr] | exp=[karmaloop] | create=[] | delete=[plndr] | preserve=[karmaloop] | nonReg=[]
AZFACEMASK-BLK | aw=[] | cur=[karmaloop,plndr,shiekh] | exp=[] | create=[] | delete=[karmaloop,plndr,shiekh] | preserve=[] | nonReg=[]
B000027990399 | aw=[] | cur=[] | exp=[] | create=[] | delete=[] | preserve=[] | nonReg=[]
B24105-WHG | aw=[karmaloop] | cur=[karmaloop,plndr,shiekh,shiekhshoes] | exp=[karmaloop] | create=[] | delete=[plndr,shiekh,shiekhshoes] | preserve=[karmaloop] | nonReg=[]
B75806 | aw=[karmaloop] | cur=[karmaloop,mltd,shiekh] | exp=[karmaloop] | create=[] | delete=[mltd,shiekh] | preserve=[karmaloop] | nonReg=[]
B75807 | aw=[karmaloop] | cur=[karmaloop,mltd,shiekh] | exp=[karmaloop] | create=[] | delete=[mltd,shiekh] | preserve=[karmaloop] | nonReg=[]
B94089-BWH | aw=[karmaloop] | cur=[karmaloop,plndr] | exp=[karmaloop] | create=[] | delete=[plndr] | preserve=[karmaloop] | nonReg=[]
BB1101 | aw=[karmaloop] | cur=[karmaloop,shiekh,shiekhshoes] | exp=[karmaloop] | create=[] | delete=[shiekh,shiekhshoes] | preserve=[karmaloop] | nonReg=[]
BB1296 | aw=[karmaloop] | cur=[karmaloop,shiekh] | exp=[karmaloop] | create=[] | delete=[shiekh] | preserve=[karmaloop] | nonReg=[]
BB1312-BLK | aw=[karmaloop] | cur=[karmaloop] | exp=[karmaloop] | create=[] | delete=[] | preserve=[karmaloop] | nonReg=[]
BB2502 | aw=[shiekh] | cur=[shiekh] | exp=[shiekh] | create=[] | delete=[] | preserve=[shiekh] | nonReg=[]
BB5476 | aw=[karmaloop] | cur=[karmaloop,mltd,shiekh] | exp=[karmaloop] | create=[] | delete=[mltd,shiekh] | preserve=[karmaloop] | nonReg=[]
BB9076 | aw=[plndr] | cur=[plndr,shiekh] | exp=[] | create=[] | delete=[plndr,shiekh] | preserve=[] | nonReg=[plndr]
BH6428-BLK | aw=[karmaloop] | cur=[karmaloop,plndr] | exp=[karmaloop] | create=[] | delete=[plndr] | preserve=[karmaloop] | nonReg=[]
BH6430-MUI | aw=[karmaloop] | cur=[karmaloop,plndr] | exp=[karmaloop] | create=[] | delete=[plndr] | preserve=[karmaloop] | nonReg=[]
BK0511-WHT | aw=[karmaloop] | cur=[karmaloop,plndr] | exp=[karmaloop] | create=[] | delete=[plndr] | preserve=[karmaloop] | nonReg=[]
