RO Status,MPN,SKU,Last Received,First Received,Brand,Name,Age Group,Group,Department,Class,Category,Primary Color,Descriptive Color,TaxClass,Keywords,Style ID,Fit,Material Fabric,MAP,Promo,HYPE,Sports Team,League,Description,Media Status,FastFashion,New Collection,Launch Date,Hide Image Until Date,RICS Color,RICS Short Description,RICS Long Desc,RICS Category,Store Inv,Warehouse Inv,WHS inv,Website,Height,Width,Length,Weight,Launch Date,Product.Sole Material.Name,Product.Cut Type.Name,Heel Height,Heel Type,Web Regular Price,Web Sale Price,Retail Price,Retail Sale Price
Incomplete,206991-6SW,SHK2844287,4/14/2026,3/11/2024,Crocs,aa0d2147-ac27-4e5f-b6e4-ad52013e80a3,,,,,,,,,,,,,,,,,,,,,,,,TAFFY PINK,CLASSIC CLOG K,CLASSIC CLOG K,Kids||Boys Grade School||Footwear||Sandal||Casual,0,4,4,,0,0,0,0,,,,,,0,0,39.99,39.99
Incomplete,94654,SHK2583596,4/14/2026,5/14/2021,BESTFIT,Velvet High Heel Pumps,Adult,Women's,Footwear,High Heels,Pumps,,Fuchsia,Taxable Goods,,Velvet High Heel Pumps,,Suede,,Allowed,FALSE,,,"<p>Pair the women's Velvet High Heel Pumps with your favorite dress or skirt!</p>
<ul>
<li>Velvet upper</li>
<li>Slip-on</li>
</ul>",,TRUE,,2/1/2016 1:00,,Fuschia,VLVT HIHL PUMP,VLVT HIHL PUMP,Womens||Shiekh Branded FW||Dressy||High Heel,0,4,4,"Plndr.com,Shiekh.com",4,3,2,2,,,,,,0,11.99,19.99,0
Incomplete,CRY-SPR226-019,SHK3050982,4/14/2026,4/13/2026,CRYSP DENIM,202f8335-d8cb-4c17-affc-b38d012563f4,,,,,,,,,,,,,,,,,,,,,,,,BLACK,JAX FLARE,JAX FLARE,Apparel||Mens||Pants||Jeans,12,6,6,,0,0,0,0,,,,,,0,0,89.99,89.99
Incomplete,CRY-SPR226-029,SHK3050988,4/14/2026,4/13/2026,CRYSP DENIM,3e6ab142-0092-4745-a17b-b38d01259cb0,,,,,,,,,,,,,,,,,,,,,,,,BLACK,CRYSTAL SHORT,CRYSTAL SHORT,Apparel||Mens||Shorts||Denim,16,6,6,,0,0,0,0,,,,,,0,0,89.99,89.99
Incomplete,LLDU315993-EBK,SHK3049928,4/14/2026,4/13/2026,PRO STANDARD,c3fc8d56-8ba9-45a7-a41c-b37800f7c7ea,,,,,,,,,,,,,,,,,,,,,,,,Eggshell,LAD Paradise stn jkt,LAD Paradise stn jkt,Apparel||Womens||Tops||Jacket,30,7,7,,0,0,0,0,,,,,,0,0,149.99,149.99
Incomplete,MLSMU26-3005BLK,SHK3061771,4/14/2026,4/13/2026,Memory Lane,77327fcb-8d7e-400c-831d-b4280157c705,,,,,,,,,,,,,,,,,,,,,,,,Vintage Black,Armageddon Hoodie,Armageddon Hoodie,Apparel||Mens||Tops||Hoodie,38,8,8,,0,0,0,0,,,,,,0,0,109.99,109.99
Incomplete,341-921CRM,SHK3018372,4/13/2026,3/20/2025,Rebel Minds,91221eff-276f-410f-8d6b-b292017789d7,,,,,,,,,,,,,,,,,,,,,,,,Cream,Linen Paisley Shorts,Linen Paisley Shorts,Apparel||Mens||Tops||Wovens,44,14,14,,0,0,0,0,,,,,,0,0,39.99,39.99
Incomplete,HTG230493wht,SHK3003339,4/13/2026,12/14/2024,Honor The Gift,D-HOLIDAY HELLHOUND 2.0 SS TEE,Adult,Men's,Clothing,Sweatshirts,Pullover Hoodie,White,Black,Taxable Goods,"Honor The Gift t-shirt, urban streetwear tee, men's graphic tee, holiday hellhound apparel, black street style clothing",,True To Size,,,,,,,"<h2>D-HOLIDAY HELLHOUND 2.0 SS TEE</h2>
<p>Unleash your urban style with the D-HOLIDAY HELLHOUND 2.0 SS TEE from Honor The Gift. This trendy tee combines comfort and flair, making it the perfect addition to your streetwear collection.</p>
<ul>
<li>So",,FALSE,,,,WHITE | WHT,D-HOLIDAY HELLHOUND,D-HOLIDAY HELLHOUND 2.0 SS TEE,Apparel||Mens||Tops||T-short sleeve,0,4,4,"Shiekh.com,Mltd.com",4,4,4,3,,,,,,0,33.99,64.99,64.99
Incomplete,JW5143,SHK3061476,4/13/2026,3/26/2026,ADIDAS,Football Inspired Graphic Dress,Adult,Women's,Clothing,Dresses,Mini Dress,Multi Color,Night Indigo,Taxable Goods,"Football Inspired Graphic Dress, Adidas Football Inspired Graphic Dress, Adidas dresses",Football Inspired Graphic Dress,,Polyester,,,,,,"<p>This dress from adidas is designed to let your love of football shine through. The slim fit hugs your body for a sleek look, while the soft French terry fabric keeps you comfortable all day. A bold football-inspired allover print makes a strong st",,FALSE,,7/10/2025 9:14,,,,,Apparel||Womens||Pants||Dress,31,2,2,"Karmaloop.com,Shiekh.com,Mltd.com",5,5,5,5,,,,,,0,0,0,0
Incomplete,MLSMU26-3001BLK,SHK3061776,4/13/2026,4/13/2026,Memory Lane,SS Graphic Tees,,,,,,,,,,,,,,,,,,,,,,,,WASHED BLACK,Judgment Tee,Judgment Tee,Apparel||Mens||Tops||T-short sleeve,38,8,8,,0,0,0,0,,,,,,0,0,59.99,59.99
